#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
EVTNAME700212;Secret service operations;;;;;;;;;;;;;x
EVTDESC700212;You must choose a line of action about offensive or defensive operations;;;;;;;;;;;;;x
EVTOPTA700212;Offensive operations;;;;;;;;;;;;;x
EVTOPTB700212;defensive operations;;;;;;;;;;;;;x
EVTOPTC700212;No we launch any operation;;;;;;;;;;;;;x
EVTNAME700213;internal destabilization;;;;;;;;;;;;;x
EVTDESC700213;internal activity of enemy countries are undermining the internal stability of our country;;;;;;;;;;;;;x
EVTOPTA700213;ok;;;;;;;;;;;;;x
EVTNAME700214;economic destabilization;;;;;;;;;;;;;x
EVTDESC700214;secret enemy operations have caused serious damage to our industry.;;;;;;;;;;;;;x
EVTOPTA700214;ok;;;;;;;;;;;;;x
EVTNAME700215;enemy operations in the army;;;;;;;;;;;;;x
EVTDESC700215;the enemy has managed to infiltrate into our armies and launch sabotage operations.;;;;;;;;;;;;;x
EVTOPTA700215;ok;;;;;;;;;;;;;x
EVTNAME700216;The enemy is operating within our state;;;;;;;;;;;;;
EVTDESC700216;operations within the government are putting national security at risk.;;;;;;;;;;;;;x
EVTOPTA700216;ok;;;;;;;;;;;;;
EVTNAME700113;Tribunal Supremo;;;;;;;;;;;;;
EVTDESC700113;Se esta produciendo signos importantes de regeneracion dentro de la Justicia.;;;;;;;;;;;;;x
EVTOPTA700113;ok;;;;;;;;;;;;;
EVTNAME700114;Integridad;;;;;;;;;;;;;
EVTDESC700114;Se esta produciendo signos importantes de regeneracion dentro de la del partido político en el poder;;;;;;;;;;;;;
EVTOPTA700114;ok;;;;;;;;;;;;;
EVTNAME700115;Macroeconomia;;;;;;;;;;;;;
EVTDESC700115;la bolsa y la economia estan pasando un tendencia evidente de recuperacion.;;;;;;;;;;;;;
EVTOPTA700115;ok;;;;;;;;;;;;;
EVTNAME700116;Turismo;;;;;;;;;;;;;
EVTDESC700116;El turismo y el flujo interno de poblacion de otros paises desarrollado esta generando una considerable inyeccion de capital.;;;;;;;;;;;;;
EVTOPTA700116;ok;;;;;;;;;;;;;
EVTNAME700117;productividad;;;;;;;;;;;;;
EVTDESC700117;La acertada politica del gobierno esta generando un clima de bienestar social.;;;;;;;;;;;;;
EVTOPTA700117;ok;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;x
