#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;;;;;;;;;;;;;;x
# Organisations and actions ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
ORGANISATION_NAME_UN;United Nations;;;;;;;;;;;;;x;;
ORGANISATION_NAME_UN_short;UN;;;;;;;;;;;;;x;;
ORGANISATION_NAME_NATO;NATO;;;;;;;;;;;;;x;;
ORGANISATION_NAME_NATO_short;NATO;;;;;;;;;;;;;x;;
ORGANISATION_NAME_WP;Warsaw Pact;;;;;;;;;;;;;x;;
ORGANISATION_NAME_WP_short;WP;;;;;;;;;;;;;x;;
ORGANISATION_NAME_COMECON;Council for Mutual Economic Assistance;;;;;;;;;;;;;x;;
ORGANISATION_NAME_COMECON_short;COMECON;;;;;;;;;;;;;x;;
ORGANISATION_NAME_UE;Western European Union;;;;;;;;;;;;;x;;
ORGANISATION_NAME_UE_short;WEU;;;;;;;;;;;;;x;;
ORGANISATION_COOLDOWN;Cooldown Counter: ;;;;;;;;;;;;;x;;
DIPLO_COST;Cost in diplomatic points: ;;;;;;;;;;;;;x;;
ORGACTION_DIPLO_NOT_ENOUGH;You have not enough diplomatic points to call this action;;;;;;;;;;;;;x;;
ORGACTION_SELECT_COUNTRY;Select a country to see action effects.;;;;;;;;;;;;;x;;
ORGACTION_ALLOW;Action call conditions: ;;;;;;;;;;;;;x
ORGACTION_EFFECT;Action effects: ;;;;;;;;;;;;;x
ORG_VOTING_ACTIVE;There is currently an action awaiting vote. You cannot start a new vote before the previous vote is finished.;;;;;;;;;;;;;x;;
ORG_ALL_ACTION;Members of §Y$ORG$§W will do:  ;;;;;;;;;;;;;x
#######Voting########;;;;;;;;;;;;;;x;;
VT_YES;Yes;;;;;;;;;;;;;x;;
VT_NO;No;;;;;;;;;;;;;x;;
VT_ABSTAIN;Abstain;;;;;;;;;;;;;x;;
VT_VETO;Veto;;;;;;;;;;;;;x;;
VT_VOTING_LABEL;Current voting;;;;;;;;;;;;;x;;
NO_VOTING;No voting.;;;;;;;;;;;;;x;;
NO_VOTING_DESC;Currently organization isn't voting on anything. To change this, select an action from the actions menu and start a new vote.;;;;;;;;;;;;;x;;
#######UN Diplomatic Actions########;;;;;;;;;;;;;;x;;
EMBARGO_ACTION_UN;Embargo;;;;;;;;;;;;;x;;
EMBARGO_ACTION_UN_DESC;UN imposes an arms embargo on target.;;;;;;;;;;;;;x;;
CANCEL_EMBARGO_ACTION_UN;Cancel Embargo;;;;;;;;;;;;;x;;
CANCEL_EMBARGO_ACTION_UN_DESC;UN cancels the arms embargo on target.;;;;;;;;;;;;;x;;
NUCLEAR_ACTION_UN;Nuclear Arms Embargo;;;;;;;;;;;;;x;;
NUCLEAR_ACTION_UN_DESC;Embargo a nation that has aspirations of gaining nuclear weapons and thus threatens the nuclear balance of the world.;;;;;;;;;;;;;x;;
CANCEL_NUCLEAR_ACTION_UN;Cancel Nuclear Arms Embargo;;;;;;;;;;;;;x;;
CANCEL_NUCLEAR_ACTION_UN_DESC; Cancels the nuclear embargo.;;;;;;;;;;;;;x;;
WEAPON_EMBARGO_ACTION_UN;Arms Embargo;;;;;;;;;;;;;x;;
WEAPON_EMBARGO_ACTION_UN_DESC;UN imposes an arms embargo on target.;;;;;;;;;;;;;x;;
CANCEL_WEAPON_EMBARGO_ACTION_UN;Cancel Arms Embargo;;;;;;;;;;;;;x;;
